Place,County/ies[3][note 3],Population[1],White[1],Other[1][note 1],Asian[1],Black or AfricanAmerican[1],Native American[1][note 2],Hispanic or Latino(of any race)[2]
Cobb,Lake,"1,810",92.6%,3.6%,3.8%,0.0%,0.0%,5.2%
Coffee Creek,Trinity,219,96.3%,3.7%,0.0%,0.0%,0.0%,3.7%
Cohasset,Butte,955,98.4%,1.0%,0.0%,0.5%,0.0%,3.0%
Cold Springs (El Dorado County),El Dorado,569,90.9%,9.1%,0.0%,0.0%,0.0%,3.3%
Cold Springs (Tuolumne County),Tuolumne,293,94.2%,5.8%,0.0%,0.0%,0.0%,6.5%
Coleville,Mono,652,89.0%,7.7%,0.0%,3.4%,0.0%,38.3%
Colfax,Placer,"1,999",92.1%,5.0%,2.7%,0.1%,0.2%,4.1%
College City,Colusa,70,100.0%,0.0%,0.0%,0.0%,0.0%,35.7%
Collierville,San Joaquin,"1,891",81.8%,17.1%,0.0%,1.2%,0.0%,23.1%
Colma,San Mateo,"1,785",32.2%,21.8%,44.0%,1.3%,0.7%,40.0%
Coloma,El Dorado,353,82.4%,17.3%,0.3%,0.0%,0.0%,20.1%
Colton,San Bernardino,"52,283",50.2%,32.5%,5.2%,10.4%,1.6%,68.0%
Columbia,Tuolumne,"2,258",74.1%,20.8%,0.1%,0.0%,5.0%,11.3%
Colusa,Colusa,"5,951",62.2%,32.2%,1.9%,0.9%,2.8%,56.4%
